Video,Arena,Sequence,Individual,Group,REP,Beginning_seq,End_seq,Prop_time_lost,Smoothing_filter_window,Smoothing_Polyorder,Moving_threshold,Prop_time_moving,Average_Speed,Average_Speed_Moving,Traveled_Dist,Meander,Traveled_Dist_Moving,Meander_moving,Exploration_absolute_value,Exploration_relative_value,Exploration_method,Exploration_area,Exploration_aspect_param,Mean_nb_neighbours,Prop_time_with_at_least_one_neighbour,Mean_shortest_interind_distance,Mean_sum_interind_distances
REP_1.avi,3,3_min,IMI_1,IMI,1,119.98,179.97,0,15,2,0.28,0.56930126,0.5224644704,0.8254999166,31.36080052,8218.049454,28.20912119,482.578923,8.927926554,0.164691127,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,3,4_min,IMI_1,IMI,1,179.97,240,0,15,2,0.28,0.6084716657,0.6556982002,0.9831169111,39.38066405,6160.002543,35.92729911,400.5125979,14.52264907,0.2678955106,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,3,5_min,IMI_1,IMI,1,240,256.19,0,15,2,0.28,0.906779661,1.618846899,1.766018811,26.26841777,1010.328826,25.98515027,409.7494131,9.433953852,0.1740256803,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,0,General,CTR_2,CTR,2,0,299.99,0.003315422431,15,2,0.28,0.9848345588,3.3683273,3.417454296,1005.622584,332.6384729,1004.816431,185.4434089,39.4389205,0.6803503274,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,0,1_min,CTR_2,CTR,2,0,59.99,0.002285714286,15,2,0.28,0.9776247849,3.190124725,3.258899327,190.7246825,356.75471,190.4769312,220.783523,22.88324546,0.3947527808,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,0,2_min,CTR_2,CTR,2,59.99,119.98,0.003428571429,15,2,0.28,0.9885189437,3.371937367,3.409200743,201.4788671,340.2954155,201.3666625,180.9458483,22.15987163,0.3822740514,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,0,3_min,CTR_2,CTR,2,119.98,179.98,0.001714285714,15,2,0.28,0.9799426934,3.437750018,3.504770317,205.7650333,418.5102321,205.5689525,190.883742,28.83854029,0.4974859879,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,0,4_min,CTR_2,CTR,2,179.98,239.97,0.004,15,2,0.28,0.9850574713,3.574364984,3.62591214,213.3290482,326.8936993,213.1718943,167.5435259,25.10296652,0.4330445985,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,0,5_min,CTR_2,CTR,2,239.97,299,0.005226480836,15,2,0.28,0.9929783499,3.280262624,3.301861277,192.2881534,223.0947552,192.1951906,169.7896924,23.26610972,0.4013574704,Modern,0.2,NA,NA,NA,NA,NA
REP_2.avi,1,General,DEL_2,DEL,2,0,299.99,0.003201097519,15,2,0.28,0.983115093,3.652277068,3.711838897,1090.647052,335.9818138,1089.717676,192.4612997,46.94740704,0.8756041535,Modern,0.2,NA,NA,NA,NA,NA
