Tratamento,REP,Comportamento,Tempo,Observador,Tempo_segundos,Comportamento_2,Tempo_vagner,Tempo_segundos_vagner
CTR,REP_2,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
CTR,REP_2,Limpeza,0:02:00,tef,2,Limpeza,00:17:00,17
CTR,REP_2,Movimento_circular,,tef,0,Movimento_circular,,0
CTR,REP_2,Observação,,tef,0,Observação,,0
DEL,REP_2,Repouso,,tef,0,Repouso,,0
DEL,REP_2,Exploracao,4:11:00,tef,251,Exploracao,,0
DEL,REP_2,Tentativa_voo,1:00:00,tef,60,Tentativa_voo,00:13:00,13
DEL,REP_2,Limpeza,,tef,0,Limpeza,00:04:00,4
DEL,REP_2,Movimento_circular,,tef,0,Movimento_circular,,0
DEL,REP_2,Observação ,,tef,0,Observação ,,0
COM,REP_2,Repouso,2:20:00,tef,140,Repouso,,0
COM,REP_2,Exploracao,1:06:00,tef,66,Exploracao,,0
COM,REP_2,Tentativa_voo,,tef,0,Tentativa_voo,00:25:00,25
COM,REP_2,Limpeza,2:58:00,tef,178,Limpeza,03:37:00,217
COM,REP_2,Movimento_circular,,tef,0,Movimento_circular,,0
COM,REP_2,Observação,,tef,0,Observação,,0
IMI,REP_2,Repouso,3:33:00,tef,213,Repouso,,0
IMI,REP_2,Exploracao,1:28:00,tef,88,Exploracao,,0
IMI,REP_2,Tentativa_voo,3:58:00,tef,238,Tentativa_voo,03:31:00,211
IMI,REP_2,Limpeza,,tef,0,Limpeza,01:00:00,60
IMI,REP_2,Movimento_circular,,tef,0,Movimento_circular,,0
IMI,REP_2,Observação,,tef,0,Observação,,0
CTR,REP_13,Repouso,,vagner,0,Repouso,,0
CTR,REP_13,Exploracao,3:03:00,vagner,183,Exploracao,,0
CTR,REP_13,Tentativa_voo,,vagner,0,Tentativa_voo,00:01:00,1
CTR,REP_13,Limpeza,,vagner,0,Limpeza,00:02:00,2
CTR,REP_13,Movimento_circular,2:02:00,vagner,122,Movimento_circular,,0
CTR,REP_13,Observação ,,vagner,0,Observação ,,0
DEL,REP_13,Repouso,2:44:00,vagner,164,Repouso,,0
DEL,REP_13,Exploracao,2:55:00,vagner,175,Exploracao,,0
DEL,REP_13,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
DEL,REP_13,Limpeza,3:57:00,vagner,237,Limpeza,3:57:00,237
DEL,REP_13,Movimento_circular,,vagner,0,Movimento_circular,,0
DEL,REP_13,Observação ,Comportamento de limpeza a maior parte em repouso,vagner,#VALUE!,Observação ,,0
IMI,REP_13,Repouso,,vagner,0,Repouso,,0
IMI,REP_13,Exploracao,3:02:00,vagner,182,Exploracao,,0
IMI,REP_13,Tentativa_voo,,vagner,0,Tentativa_voo,00:01:00,1
IMI,REP_13,Limpeza,0:30:00,vagner,30,Limpeza,0:30:00,30
IMI,REP_13,Movimento_circular,2:22:00,vagner,142,Movimento_circular,,0
IMI,REP_13,Observação ,Comportamento de limpeza segregado,vagner,#VALUE!,Observação ,,0
COM,REP_13,Repouso,1:03:00,vagner,63,Repouso,,0
COM,REP_13,Exploracao,3:51:00,vagner,231,Exploracao,,0
COM,REP_13,Tentativa_voo,0:06:00,vagner,6,Tentativa_voo,0:06:00,6
COM,REP_13,Limpeza,3:04:00,vagner,184,Limpeza,3:04:00,184
COM,REP_13,Movimento_circular,,vagner,0,Movimento_circular,,0
COM,REP_13,Observação ,"Comportamento de limpeza continuo, porém em movimento",vagner,#VALUE!,Observação ,,0
DEL,REP_3,Repouso,4:00:00,tef,240,Repouso,,0
DEL,REP_3,Exploracao,,tef,0,Exploracao,,0
DEL,REP_3,Tentativa_voo,4:00:00,tef,240,Tentativa_voo,04:57:00,297
DEL,REP_3,Limpeza,,tef,0,Limpeza,00:17:00,17
DEL,REP_3,Movimento_circular,,tef,0,Movimento_circular,,0
CTR,REP_3,Repouso,0:54:00,tef,54,Repouso,,0
CTR,REP_3,Exploracao,1:34:00,tef,94,Exploracao,,0
CTR,REP_3,Tentativa_voo,1:24:00,tef,84,Tentativa_voo,01:34:00,94
CTR,REP_3,Limpeza,0:03:00,tef,3,Limpeza,00:08:00,8
CTR,REP_3,Movimento_circular,1:52:00,tef,112,Movimento_circular,,0
CTR,REP_3,Observação,,tef,0,Observação,,0
COM,REP_3,Repouso,0:20:00,tef,20,Repouso,,0
COM,REP_3,Exploracao,3:57:00,tef,237,Exploracao,,0
COM,REP_3,Tentativa_voo,1:21:00,tef,81,Tentativa_voo,01:00:00,60
COM,REP_3,Limpeza,0:09:00,tef,9,Limpeza,00:59:00,59
COM,REP_3,Movimento_circular,,tef,0,Movimento_circular,,0
COM,REP_3,Observação,Limpeza se movimentando,tef,#VALUE!,Observação,,0
IMI,REP_3,Repouso,,tef,0,Repouso,,0
IMI,REP_3,Exploracao,4:05:00,tef,245,Exploracao,,0
IMI,REP_3,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
IMI,REP_3,Limpeza,,tef,0,Limpeza,00:29:00,29
IMI,REP_3,Movimento_circular,,tef,0,Movimento_circular,,0
IMI,REP_3,Observação,,tef,0,Observação,,0
CTR,REP_12,Repouso,,vagner,0,Repouso,,0
CTR,REP_12,Exploracao,5:03:00,vagner,303,Exploracao,,0
CTR,REP_12,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
CTR,REP_12,Limpeza,0:02:00,vagner,2,Limpeza,0:02:00,2
CTR,REP_12,Movimento_circular,,vagner,0,Movimento_circular,,0
CTR,REP_12,Observação ,,vagner,0,Observação ,,0
COM,REP_12,Repouso,0:39:00,vagner,39,Repouso,,0
COM,REP_12,Exploracao,4:33:00,vagner,273,Exploracao,,0
COM,REP_12,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
COM,REP_12,Limpeza,1:31:00,vagner,91,Limpeza,1:31:00,91
COM,REP_12,Movimento_circular,0:05:00,vagner,5,Movimento_circular,,0
COM,REP_12,Observação ,Limpeza continua em movimento,vagner,#VALUE!,Observação ,,0
DEL,REP_12,Repouso,,vagner,0,Repouso,,0
DEL,REP_12,Exploracao,0:58:00,vagner,58,Exploracao,,0
DEL,REP_12,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
DEL,REP_12,Limpeza,0:14:00,vagner,14,Limpeza,0:14:00,14
DEL,REP_12,Movimento_circular,4:06:00,vagner,246,Movimento_circular,,0
DEL,REP_12,Observação ,,vagner,0,Observação ,,0
IMI,REP_12,Repouso,,vagner,0,Repouso,,0
IMI,REP_12,Exploracao,3:03:00,vagner,183,Exploracao,,0
IMI,REP_12,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
IMI,REP_12,Limpeza,0:07:00,vagner,7,Limpeza,0:07:00,7
IMI,REP_12,Movimento_circular,1:49:00,vagner,109,Movimento_circular,,0
IMI,REP_12,Observação ,,vagner,0,Observação ,,0
DEL,REP_4,Repouso,,tef,0,Repouso,,0
DEL,REP_4,Exploracao,,tef,0,Exploracao,,0
DEL,REP_4,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
DEL,REP_4,Limpeza,,tef,0,Limpeza,00:42:00,42
DEL,REP_4,Movimento_circular,,tef,0,Movimento_circular,,0
CTR,REP_4,Repouso,,tef,0,Repouso,,0
CTR,REP_4,Exploracao,,tef,0,Exploracao,,0
CTR,REP_4,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
CTR,REP_4,Limpeza,,tef,0,Limpeza,00:04:00,4
CTR,REP_4,Movimento_circular,,tef,0,Movimento_circular,,0
CTR,REP_4,Observação,,tef,0,Observação,,0
COM,REP_4,Repouso,0:21:00,tef,21,Repouso,,0
COM,REP_4,Exploracao,2:55:00,tef,175,Exploracao,,0
COM,REP_4,Tentativa_voo,,tef,0,Tentativa_voo,00:02:00,2
COM,REP_4,Limpeza,0:34:00,tef,34,Limpeza,00:48:00,48
COM,REP_4,Movimento_circular,3:40:00,tef,220,Movimento_circular,,0
COM,REP_4,Observação,movimento meio inconsistente ,tef,#VALUE!,Observação,,0
IMI,REP_4,Repouso,0:03:00,tef,3,Repouso,,0
IMI,REP_4,Exploracao,4:45:00,tef,285,Exploracao,,0
IMI,REP_4,Tentativa_voo,0:28:00,tef,28,Tentativa_voo,00:44:00,44
IMI,REP_4,Limpeza,0:30:00,tef,30,Limpeza,02:20:00,140
IMI,REP_4,Movimento_circular,,tef,0,Movimento_circular,,0
IMI,REP_4,Observação,Se limpando em movimento ,tef,#VALUE!,Observação,,0
DEL,REP_11,Repouso,,vagner,0,Repouso,,0
DEL,REP_11,Exploracao,0:09:00,vagner,9,Exploracao,,0
DEL,REP_11,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
